distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain
12201.5,1948,158.2,108.6,1930,18.0
8743.2,1353,357.8,261.4,1337,35.0
15349.8,3810,464.2,323.4,3794,334.0
8810.9,1992,281.7,181.0,1804,139.5
79611.6,18927,209.8,120.0,16518,345.0
19682.0,4476,211.7,134.7,3588,167.0
12258.4,2117,191.6,144.6,1815,29.2
15539.8,3109,217.4,140.9,3067,169.2
12244.6,2234,191.2,144.6,1811,29.2
15369.5,3215,211.7,140.9,3024,151.5
12273.8,2154,191.2,144.6,1843,31.3
16034.5,3251,219.3,140.9,3150,176.8
12255.0,2129,191.1,144.6,1843,31.4
15478.4,3011,211.8,140.9,2843,151.2
12271.9,2068,191.1,144.6,1855,31.7
24104.2,5791,351.9,184.1,5488,412.7
33617.3,7788,398.0,181.0,7551,531.8
15568.4,3124,218.4,140.9,2987,175.5
12262.6,2053,191.1,144.6,1785,31.4
15679.0,4065,218.1,140.9,3143,168.6
12335.4,1986,191.2,144.6,1798,29.6
32040.4,8852,427.0,181.0,8345,683.7
17458.8,3458,218.9,140.9,3401,188.1
12267.6,2046,191.2,144.6,1838,31.6
15438.3,3250,218.3,140.9,3085,170.4
12284.7,2197,191.4,144.6,2023,32.6
20287.1,5486,233.4,180.2,4894,169.0
12246.7,2201,191.2,144.6,2054,74.2
12264.7,2046,191.2,144.6,1824,31.3
15409.2,3286,217.4,140.9,3076,172.8
12285.8,2070,191.2,144.6,1883,31.5
15415.9,3051,217.6,140.9,2925,170.6
37362.1,9997,426.9,181.0,8937,818.2
77144.0,25794,464.2,143.0,22465,1660.5
15386.4,2933,220.4,140.9,2855,171.6
12245.9,2056,191.3,144.6,1765,31.0
12264.0,2240,191.3,144.6,2058,74.4
12241.0,2028,191.2,144.6,1811,31.2
15438.7,2998,218.5,140.9,2817,171.6
12253.9,2111,191.2,144.6,1826,31.5
12282.4,2037,191.3,144.6,1778,31.5
65585.1,19056,191.3,106.6,10805,272.8
